Internet Archive,37.8,-122.46027777777778
China,35.0,105.0
Strait of Malacca,1.43,102.89
Shanghai,31.2,121.5
Anjer,-6.066666666666666,105.88333333333334
Long Island Sound,41.105,-72.90138888888889
boj,35.6861,139.7715
Long Island Sound,41.105,-72.90138888888889
New York,40.71666666666667,-74.0
Atlantic ocean,-52.35,-68.35
Italy,41.9,12.483333333333333
Alabama,33.0,-86.66666666666667
Mediterranean Sea,35.0,18.0
Italy,41.9,12.483333333333333
Alabama,33.0,-86.66666666666667
China,35.0,105.0
Shanghai,31.2,121.5
Brooklyn,40.69277777777778,-73.99027777777778
Shanghai,31.2,121.5
China,35.0,105.0
New York,40.72833333333333,-73.99416666666667
University of Stockholm,59.36527777777778,18.058333333333334
Long Island,40.8,-73.3
California,35.458606,-119.355165
New York,40.71666666666667,-74.0
New Orleans,29.96472222222222,-90.07055555555556
Atlantic,-52.35,-68.35
China,35.0,105.0
Shanghai,31.2,121.5
New York City,40.71666666666667,-74.0
Indian Ocean,-20.0,80.0
New York,40.72833333333333,-73.99416666666667
South Africa,-29.046,25.063
Table Mountain,-33.95731388888889,18.403108333333332
Indian Ocean,-20.0,80.0
Cape Horn,-55.97972222222222,-67.27166666666666
Straits of Malacca,1.43,102.89
Indian Ocean,-20.0,80.0
St. Paul,57.125,-170.28416666666666
Atlantic ocean,-52.35,-68.35
Finland,65.0,27.0
Valparaiso,-33.05,-71.61666666666666
Portsmouth,50.81666666666667,-1.0833333333333333
India,21.0,78.0
Strait of Malacca,1.43,102.89
Strait of Malacca,1.43,102.89
Strait of Malacca,1.43,102.89
Strait of Malacca,1.43,102.89
Philippine Islands,14.583333333333334,121.0
Strait of Singapore,1.3666666666666667,104.28333333333333
Shanghai,31.2,121.5
Straits of Malacca,1.43,102.89
Island of Borneo,1.0,114.0
Singapore,1.3666666666666667,103.8
Singapore,1.3666666666666667,103.8
Strait of Malacca,1.43,102.89
South Africa,-29.046,25.063
Strait of Malacca,1.43,102.89
Singapore,1.3666666666666667,103.8
Luzon,38.01444444444444,-122.25138888888888
Luzon,38.01444444444444,-122.25138888888888
Pacific Ocean,-52.35,-68.35
Formosa Island,51.5639,-0.6989
strait of Malacca,1.43,102.89
Hong Kong,22.278333333333332,114.1588888888889
New York,40.71666666666667,-74.0
China,35.0,105.0
Poyang Lake,29.15,116.21666666666667
Shanghai,31.2,121.5
Custom House,53.348544,-6.253147
New York,40.71666666666667,-74.0
China,35.0,105.0
Liverpool,40.39083333333333,-90.00083333333333
Englishtown,40.295965,-74.359821
Singapore,1.3666666666666667,103.8
Tientsin,39.125,117.195
Shanghai,31.2,121.5
New York,40.71666666666667,-74.0
Strait of Malacca,1.43,102.89
China,23.766666666666666,121.0
Shanghai,31.2,121.5
China,35.0,105.0
Pekin,47.791465,-98.328539
Long Island,40.8,-73.3
Brookhaven,40.77916666666667,-72.91527777777777
China,35.0,105.0
New York,40.71666666666667,-74.0
Amherst Rock,-50.7,166.08333333333334
Englishtown,40.295965,-74.359821
Hong Kong,22.278333333333332,114.1588888888889
New York,40.71666666666667,-74.0
China,23.766666666666666,121.0
China,35.0,105.0
Great Britain,53.826,-2.422
China,35.0,105.0
Hong Kong,22.278333333333332,114.1588888888889
Kanagawa,35.47694444444444,139.62944444444443
Kanagawa,35.47694444444444,139.62944444444443
Hong Kong,22.278333333333332,114.1588888888889
Shanghai,31.2,121.5
Hong Kong,22.278333333333332,114.1588888888889
New York,40.71666666666667,-74.0
St. Andrew,49.448055555555555,-2.5780555555555553
France,47.0,2.0
Shanghai,31.2,121.5
Gibraltar,36.143,-5.353
Shanghai,31.2,121.5
Yellow sea,35.0,123.0
Shanghai,31.2,121.5
New York,40.71666666666667,-74.0
South Africa,-29.046,25.063
Korean strait,34.599444444444444,129.79666666666665
China,35.0,105.0
China,35.0,105.0
Hong Kong,22.278333333333332,114.1588888888889
Shanghai,31.2,121.5
Kanagawa,35.47694444444444,139.62944444444443
Kanagawa,35.47694444444444,139.62944444444443
Kanagawa,35.47694444444444,139.62944444444443
Yokohama,35.45,139.63333333333333
Custom House,53.348544,-6.253147
Kanagawa,35.47694444444444,139.62944444444443
New York,40.72833333333333,-73.99416666666667
Shanghai,31.2,121.5
Windsor Castle,51.48388888888889,-0.6044444444444445
London,51.50805555555556,-0.12472222222222222
Ningpoo,29.866666666666667,121.55
California,35.458606,-119.355165
Gulf,26.904722222222222,51.5475
Shanghai,31.2,121.5
China,35.0,105.0
Susaki,33.4,133.28333333333333
Kanagawa,35.47694444444444,139.62944444444443
France,47.0,2.0
China,23.766666666666666,121.0
Pekin,47.791465,-98.328539
New York City,40.71666666666667,-74.0
New York,40.71666666666667,-74.0
Bath,43.91638888888889,-69.8225
China,35.0,105.0
Hong Kong,22.278333333333332,114.1588888888889
China,35.0,105.0
New York,40.71666666666667,-74.0
Hong Kong,22.278333333333332,114.1588888888889
Hong Kong,22.278333333333332,114.1588888888889
Green Island,22.28472222222222,114.11277777777778
Lamma Island,22.2,114.11666666666666
Hong Kong,22.278333333333332,114.1588888888889
Hong Kong,22.278333333333332,114.1588888888889
Canton,23.108888888888888,113.26472222222222
Lamma Island,22.2,114.11666666666666
Tientsin,39.125,117.195
China,35.0,105.0
Shanghai,31.2,121.5
Hong Kong,22.278333333333332,114.1588888888889
Victoria Peak,22.275469444444443,114.14382777777777
strait of Malacca,1.43,102.89
Hong Kong,22.278333333333332,114.1588888888889
Singapore,1.3666666666666667,103.8
Kanagawa,35.47694444444444,139.62944444444443
Yellow Sea,35.0,123.0
